Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
35,Taiwo Awoniyi,ng�NGA,FW,Nott'ham Forest,26-263,1997,17,12,"1,024",11.4,6,3,9,6,0,0,2,0,4.7,4.7,1.7,6.4,8,14,43,0.53,0.26,0.79,0.53,0.79,0.42,0.15,0.57,0.42,0.57,Matches
36,Jordan Ayew,gh�GHA,"FW,MF",Crystal Palace,32-233,1991,33,30,"2,534",28.2,4,7,11,4,0,0,9,1,3.8,3.8,4.2,8,74,63,173,0.14,0.25,0.39,0.14,0.39,0.14,0.15,0.28,0.14,0.28,Matches
37,Beno�t Badiashile,fr�FRA,DF,Chelsea,23-036,2001,13,10,921,10.2,0,1,1,0,0,0,2,0,0.2,0.2,1.5,1.7,1,37,2,0,0.1,0.1,0,0.1,0.02,0.14,0.17,0.02,0.17,Matches
38,Leon Bailey,jm�JAM,"MF,FW",Aston Villa,26-266,1997,33,20,"1,888",21,10,9,19,10,0,0,5,0,6.1,6.1,7.9,14,100,75,220,0.48,0.43,0.91,0.48,0.91,0.29,0.38,0.67,0.29,0.67,Matches
39,George Baldock,gr�GRE,DF,Sheffield Utd,31-053,1993,13,11,969,10.8,0,1,1,0,0,0,4,0,0,0,0.8,0.8,9,31,24,0,0.09,0.09,0,0.09,0,0.07,0.08,0,0.08,Matches
40,Carlos Baleba,cm�CMR,MF,Brighton,20-119,2004,23,14,"1,217",13.5,0,0,0,0,0,0,7,0,0.8,0.8,0.2,0.9,17,46,9,0,0,0,0,0,0.06,0.01,0.07,0.06,0.07,Matches
41,Fod� Ballo-Tour�,sn�SEN,"DF,MF",Fulham,27-119,1997,5,0,58,0.6,0,0,0,0,0,0,1,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,Matches
42,Shandon Baptiste,gd�GRN,MF,Brentford,26-023,1998,10,2,229,2.5,1,1,2,1,0,0,1,0,0.9,0.9,0.2,1.1,3,5,1,0.39,0.39,0.79,0.39,0.79,0.35,0.08,0.43,0.35,0.43,Matches
43,Valent�n Barco,ar�ARG,"DF,FW",Brighton,19-283,2004,3,2,181,2,0,0,0,0,0,0,1,0,0,0,0.1,0.2,6,5,10,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08,Matches
44,Ross Barkley,eng�ENG,MF,Luton Town,30-148,1993,30,28,"2,490",27.7,5,4,9,5,0,0,5,0,4,4,3.7,7.7,45,150,36,0.18,0.14,0.33,0.18,0.33,0.14,0.13,0.28,0.14,0.28,Matches
45,Harvey Barnes,eng�ENG,"FW,MF",Newcastle Utd,26-144,1997,17,6,676,7.5,4,3,7,4,0,0,1,0,2.7,2.7,3.1,5.8,38,27,66,0.53,0.4,0.93,0.53,0.93,0.36,0.41,0.77,0.36,0.77,Matches
46,Chris Basham,eng�ENG,"DF,MF",Sheffield Utd,35-286,1988,8,3,321,3.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,1,7,6,0,0,0,0,0,0.04,0.07,0.1,0.04,0.1,Matches
47,Calvin Bassey,ng�NGA,DF,Fulham,24-122,1999,26,22,"2,033",22.6,1,0,1,1,0,0,5,1,0.3,0.3,0,0.4,13,57,4,0.04,0,0.04,0.04,0.04,0.01,0,0.02,0.01,0.02,Matches
48,Owen Beck,wls�WAL,DF,Liverpool,21-266,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
49,Donny van de Beek,nl�NED,DF,Manchester Utd,27-013,1997,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,1,0,0,0,0,0,1.09,4.44,5.54,1.09,5.54,Matches
50,Amari'i Bell,jm�JAM,DF,Luton Town,29-362,1994,21,21,"1,720",19.1,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,32,76,10,0,0,0,0,0,0.01,0.02,0.04,0.01,0.04,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Jean-Ricner Bellegarde,fr�FRA,"MF,FW",Wolves,25-309,1998,19,9,806,9,2,1,3,2,0,0,0,1,1.4,1.4,0.8,2.2,25,37,43,0.22,0.11,0.33,0.22,0.33,0.15,0.09,0.25,0.15,0.25,Matches
52,Anis Ben Slimane,tn�TUN,MF,Sheffield Utd,23-046,2001,14,4,383,4.3,0,0,0,0,0,0,2,0,0.7,0.7,0.3,1,3,10,17,0,0,0,0,0,0.17,0.07,0.23,0.17,0.23,Matches
53,Sa�d Benrahma,dz�ALG,"FW,MF",West Ham,28-265,1995,13,5,620,6.9,0,1,1,0,0,1,1,0,1.8,1,1.4,2.5,28,28,70,0,0.15,0.15,0,0.15,0.27,0.21,0.47,0.15,0.36,Matches
54,Rodrigo Bentancur,uy�URU,MF,Tottenham,26-311,1997,18,10,772,8.6,1,1,2,1,0,0,6,0,1.2,1.2,0.5,1.7,11,59,29,0.12,0.12,0.23,0.12,0.23,0.14,0.06,0.2,0.14,0.2,Matches
55,Daniel Bentley,eng�ENG,GK,Wolves,30-293,1993,4,2,293,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
56,J�hann Berg Gu�mundsson,is�ISL,MF,Burnley,33-187,1990,24,12,"1,118",12.4,1,2,3,1,0,0,2,0,1.8,1.8,2.3,4.1,11,54,62,0.08,0.16,0.24,0.08,0.24,0.14,0.19,0.33,0.14,0.33,Matches
57,Sander Berge,no�NOR,MF,Burnley,26-077,1998,34,31,"2,735",30.4,1,1,2,1,0,0,9,1,1.9,1.9,2,3.9,57,141,28,0.03,0.03,0.07,0.03,0.07,0.06,0.07,0.13,0.06,0.13,Matches
